Выровнять содержимое элемента по левой части области, justify-self: start;
Выровнять содержимое элемента по правой части области, justify-self: end;
Выровнять содержимое элемента по центру области, justify-self: center;
Выровнять содержимое элемента заполнить всю ширину области, justify-self: stretch;
Выровнять содержимое элемента по верхней части области, align-self: start;
Выровнять содержимое элемента по нижней части области, align-self: end;
Выровнять содержимое элемента по центру области, align-self: center;
Выровнять содержимое элемента заполнить всё высоту области, align-selft: stretch;
